Speaker,# Youtube live streamers,# of Total Youtube views,Total Watch Time ,Average Percentage Viewed,# of Opens,# of Clicks,total
Panel,0.21428571428571425,0.33928571428571425,0.7943925233644862,0.6058394160583942,0.39285714285714235,0.7857142857142857,3.1323747965657365
Dr. Bill Basener,0.35714285714285715,0.25446428571428575,1.0,0.9635036496350364,0.6785714285714288,0.4285714285714285,3.682253649635036
Dr. Audrey Hendricks,0.14285714285714285,0.0,0.5467289719626169,1.0,0.17857142857142883,0.7142857142857142,2.5824432576769025
Dr. Afsaneh Doryab,0.49999999999999994,0.1919642857142857,0.719626168224299,0.6934306569343065,0.6785714285714288,0.5714285714285714,3.355021110872891
Dr. Jason Stein,0.49999999999999994,0.28571428571428575,0.4345794392523365,0.2846715328467153,0.75,0.4285714285714285,2.6835366863847656
Dr. Julienne Carstens,0.14285714285714285,0.22321428571428575,0.5747663551401869,0.4963503649635037,0.5714285714285712,0.14285714285714282,2.151473862960833
Dr. Jessica Li,0.7857142857142856,1.0,0.6168224299065421,0.03649635036496346,0.39285714285714235,0.0,2.8318902088429336
Dr. Amanda Seyerle ,0.0,0.22321428571428575,0.20560747663551404,0.04379562043795626,0.35714285714285676,0.3571428571428571,1.1869030970734697
Dr. Hongzhe Li,0.49999999999999994,0.53125,0.35514018691588783,0.10948905109489049,0.2142857142857144,0.14285714285714282,1.8530220951536356
Dr. Sean Hanlon,0.7142857142857142,0.21428571428571425,0.4345794392523365,0.5547445255474452,0.0,0.4285714285714285,2.346466821942639
Dr. Andrew Marderstein,0.21428571428571425,0.16517857142857145,0.294392523364486,0.32846715328467146,0.2142857142857144,0.7857142857142857,2.0023239623634432
Dr. Jill Barnholtz-Sloan,1.0,0.5446428571428572,0.7943925233644862,0.6058394160583942,0.6428571428571423,0.9999999999999999,4.58773193942288
Dr. Wei Wei ,0.35714285714285715,0.5982142857142856,0.3504672897196262,0.0,1.0,0.4285714285714285,2.7343958611481973
Dr. Chongzhi Zang ,0.2857142857142857,0.31696428571428575,0.2476635514018692,0.2043795620437956,0.8928571428571423,0.4285714285714285,2.376150256302807
Dr. Hilary Coller,0.42857142857142855,0.1517857142857143,0.0,0.021897810218978075,0.07142857142857117,0.14285714285714282,0.8165406673618348
Dr. Shannon Hughes,0.5714285714285714,0.35714285714285715,0.08411214953271029,0.13138686131386856,0.8214285714285712,0.2857142857142857,2.251213296560864
