Speaker,Date,# of Innovation Lab (zoom) attendees,# Youtube live streamers,# of Total Youtube views (as of 6/11/2021),# of unique viewers in the first 90 days,Total Watch Time (hrs),Average Percentage Viewed
Dr. Don Brown,10/9/2020,21,9,341,167,48.7,13.70%
Dr. Lucina Uddin,10/16/2020,21,9,257,131,38,14.90%
Dr. David Van Essen,10/23/2020,15,12,199,114,30.2,14.80%
Dr. Andrei Irimia,10/30/2020,11,6,267,158,33.1,12.40%
Dr. Tor Wager,11/6/2020,12,18,257,115,45.9,17.00%
Dr. Jessica Turner,11/13/2020,17,16,255,179,36.2,14.30%
Dr. Rob Williams,11/20/2020,17,12,448,295,83.3,18.30%
Dr. Russell Poldrack,12/4/2020,16,37,369,214,73.5,20.00%
Dr. Hongwei Dong,12/11/2020,12,8,200,70,27,13.30%
Dr. Kevin Pelphrey,1/15/2021,12,7,126,52,14.8,11.30%
Dr. Shafali Jeste,1/22/2021,12,N/A,77,24,7.4,9.40%
Dr. Daniel Gardner,1/29/2021,11,6,88,47,12.6,14.00%
Dr. Randy Gollub,2/5/2021,10,20,149,59,34.4,22.00%
Dr. Maryann Martone,2/12/2021,10,13,166,105,27,15.80%
Dr. Giselle Petzinger,2/19/2021,9,17,187,114,50.7,26.50%
Dr. David Kennedy,2/26/2021,10,7,75,58,10.4,13.70%
Dr. James Morris,3/5/2021,9,12,97,78,19.3,19.00%
Dr. Ivo Dinov,3/19/2021,10,12,105,86,17.2,16.30%
Dr. Vince Calhoun,3/26/2021,10,12,116,97,22.8,20.30%
Dr. Chongzhi Zang,4/2/2021,5,20,150,97,24.4,16.40%
Dr. Satrajit Ghosh,4/9/2021,7,10,94,63,17.3,17.20%
Dr. Angela Laird,4/23/2021,9,11,111,78,15.4,13.50%
Dr. Neda Jahanshad,4/30/2021,7,13,116,80,17.3,15.00%
Dr. Aidong Zhang,5/7/2021,11,11,24,17,7.1,Unavailable 
Dr. Giorgio Ascoli,5/14/2021,12,5,94,55,13.1,13.60%
